"FECHA","TIPO","NUMERO","R.C.","ORDEN DE","DETALLE","DEB/HAB","GRAVADO","I.V.A.","NO INS.","MON.","GRAVADO","I.V.A.","NO INS.","IVA PER.","0"
"020115","FAP","000100000974","MAT","P2355","","D","9814.20","2060.98","0.00","1","0.00","0.00","0.00","0.00","11875.18"
"270415","FAP","000300012375","AD9","P2192","","H","94.21","19.78","0.00","1","0.00","0.00","0.00","0.00","113.99"
"050215","FAP","001100575466","AD9","P2205","","H","938.98","197.19","0.00","1","0.00","0.00","0.00","0.00","1136.17"
"100315","FAP","003500034988","AD9","P0999","","H","937.77","196.93","0.00","1","0.00","0.00","0.00","0.00","1134.7"
"040215","FAP","003500346988","AD9","P0999","","H","937.77","196.93","0.00","1","0.00","0.00","0.00","0.00","1134.7"
"010215","FAP","000100048542","MAT","P2109","","H","931.80","195.68","0.00","1","0.00","0.00","0.00","0.00","1127.48"
"010415","FAP","000100049124","AD9","P2109","","H","928.20","194.92","0.00","1","0.00","0.00","0.00","0.00","1123.1200000000001"
"060415","FAP","062700091233","AD9","P2441","","H","903.65","189.77","0.00","1","0.00","0.00","0.00","0.00","1093.42"
"210415","FAP","000400045489","AD9","P0921","","H","90.00","18.90","0.00","1","0.00","0.00","0.00","0.00","108.9"
"160115","FAP","054905652315","PRP","P2441","","H","9.59","2.01","0.00","1","0.00","0.00","0.00","0.00","11.6"
"290115","FAP","000108328220","PRP","P2441","","H","9.59","2.01","0.00","1","0.00","0.00","0.00","0.00","11.6"
"290115","FAP","000110087451","PRP","P2441","","H","9.59","2.01","0.00","1","0.00","0.00","0.00","0.00","11.6"
"180515","FAP","100600291438","MAT","P0898","","H","894.81","187.91","0.00","1","0.00","0.00","0.00","0.00","1082.72"
"220115","NCP","000700005424","PRP","P0902","","D","89.30","18.75","0.00","1","0.00","0.00","0.00","0.00","108.05"
"250215","FAP","000500006739","MAT","P1104","","H","89.28","18.75","0.00","1","0.00","0.00","0.00","0.00","108.03"
"220515","FAP","000100008327","MAT","P2294","","H","8734.54","1834.25","0.00","1","0.00","0.00","0.00","0.00","10568.79"
"280515","FAP","000100020964","MAT","P2275","","H","8640.00","1814.40","0.00","1","0.00","0.00","0.00","0.00","10454.4"
"150115","FAP","000600010094","FMO","P2284","","D","864.00","181.44","0.00","1","0.00","0.00","0.00","0.00","1045.44"
"280415","FAP","000800049155","MAT","P0755","","H","86.95","18.26","0.00","1","0.00","0.00","0.00","0.00","105.21000000000001"
"190115","FAP","000300064145","PRP","P0570","","H","86.80","18.23","0.00","1","0.00","0.00","0.00","0.00","105.03"
"130215","FAP","000400008965","AD9","P1104","","H","86.72","18.21","0.00","1","0.00","0.00","0.00","0.00","104.93"
"200515","FAP","000100001027","MAT","P2355","","H","8026.60","1685.59","0.00","1","0.00","0.00","0.00","0.00","9712.19"
"010515","FAP","000100095663","AD3","P0512","","H","794.26","214.45","0.00","1","0.00","0.00","0.00","0.00","1008.71"
"100215","FAP","000300000134","AD9","P2526","","H","790.00","165.90","0.00","1","0.00","0.00","0.00","0.00","955.9"
"010215","FAP","000100000983","MAT","P2355","","H","7867.80","1652.24","0.00","1","0.00","0.00","0.00","0.00","9520.04"
"120315","FAP","000100020689","MAT","P2275","","H","7840.00","1646.40","0.00","1","0.00","0.00","0.00","0.00","9486.4"
"090215","FAP","000100000994","MAT","P2355","","H","7707.90","1618.66","0.00","1","0.00","0.00","0.00","0.00","9326.56"
"130515","FAP","000500044198","MAT","P2381","","H","7636.54","1603.67","0.00","1","0.00","0.00","0.00","0.00","9240.21"
"180215","FAP","000100048745","MAT","P2109","","H","760.80","159.77","0.00","1","0.00","0.00","0.00","0.00","920.5699999999999"
"170415","FAP","000100110124","MAT","P0729","","H","749.32","157.36","0.00","1","0.00","0.00","0.00","0.00","906.6800000000001"
"020615","FAP","100600294737","MAT","P0898","","H","747.07","156.88","0.00","1","0.00","0.00","0.00","0.00","903.95"
"180515","FAP","000012015040","FA4","P0033","","H","742.11","200.37","0.00","1","0.00","0.00","0.00","0.00","942.48"
"220515","FAP","000100001550","MAT","P1198","","H","7391.00","1552.11","0.00","1","0.00","0.00","0.00","0.00","8943.11"
"120515","FAP","000200000058","AD9","P2109","","H","728.40","152.96","0.00","1","0.00","0.00","0.00","0.00","881.36"
"160115","FAP","000100046487","FMO","P2134","","D","720.00","151.20","0.00","1","0.00","0.00","0.00","0.00","871.2"
"250315","FAP","000300415119","AD9","P2369","","H","71.87","15.09","0.00","1","0.00","0.00","0.00","0.00","86.96000000000001"
"050315","FAP","000100109180","MAT","P0729","","H","703.46","147.73","0.00","1","0.00","0.00","0.00","0.00","851.19"
"070415","FAP","001602511862","CO4","P2212","","H","70.38","19.00","0.00","1","0.00","0.00","0.00","0.00","89.38"
"150115","FAP","000200085601","PRP","P0571","","H","70.08","14.72","0.00","1","0.00","0.00","0.00","0.00","84.8"
"010315","FAP","000100006400","AD9","P1117","","H","690.00","144.90","0.00","1","0.00","0.00","0.00","0.00","834.9"
"120515","FAP","000100016983","MAT","P2399","","H","69.00","14.49","0.00","1","0.00","0.00","0.00","0.00","83.49"
"240215","FAP","000100004000","AD9","P2114","","H","69.00","0.00","0.00","1","0.00","0.00","0.00","0.00","69"
"010215","FAP","000400028679","AD9","P2477","","H","685.95","144.05","0.00","1","0.00","0.00","0.00","0.00","830"
"050615","FAP","000300017135","MAT","P2274","","H","680.00","142.80","0.00","1","0.00","0.00","0.00","0.00","822.8"
"130515","FAP","000500011453","IMP","P2530","","H","678.73","71.27","0.00","1","0.00","0.00","0.00","0.00","750"
"010115","FAP","000100000967","PRP","P2355","","H","6750.00","1417.50","0.00","1","0.00","0.00","0.00","0.00","8167.5"
"040215","FAP","001602471413","VAR","P2212","","H","67.53","18.23","0.00","1","0.00","0.00","0.00","0.00","85.76"
"110315","FAP","000200086260","MAT","P0571","","H","66.12","13.89","0.00","1","0.00","0.00","0.00","0.00","80.01"
"150415","FAP","000100002060","AD9","P2202","","H","650.00","136.50","0.00","1","0.00","0.00","0.00","0.00","786.5"
"040315","FAP","001602492590","FA3","P2212","","H","65.16","17.59","0.00","1","0.00","0.00","0.00","0.00","82.75"
"180215","FAP","000100043244","VAR","P0512","","H","640.52","172.94","0.00","1","0.00","0.00","0.00","0.00","813.46"
"180615","FAP","000120150520","FA4","P0033","","H","630.58","170.26","0.00","1","0.00","0.00","0.00","0.00","800.84"
"270515","FAP","001400020922","AD9","P2188","","H","63.88","13.41","0.00","1","0.00","0.00","0.00","0.00","77.29"
"140115","FAP","000500040621","PRP","P2381","","H","627.01","131.67","0.00","1","0.00","0.00","0.00","0.00","758.68"
"230415","FAP","000100022618","MAT","P2421","","H","6210.90","1304.29","0.00","1","0.00","0.00","0.00","0.00","7515.19"
"060115","FAP","000400001213","PRP","P2359","","H","6199.25","1301.84","0.00","1","0.00","0.00","0.00","0.00","7501.09"
"220115","FAP","264900101325","PRP","P0751","","H","61.28","12.87","0.00","1","0.00","0.00","0.00","0.00","74.15"
"130215","FAP","000500083763","AD9","P2409","","H","61.12","12.84","0.00","1","0.00","0.00","0.00","0.00","73.96"
"050515","FAP","000100000579","MAT","P2383","","H","6080.00","1276.80","0.00","1","0.00","0.00","0.00","0.00","7356.8"
"270215","FAP","000100045759","AD9","P2392","","H","60.33","12.67","0.00","1","0.00","0.00","0.00","0.00","73"
"190215","FAP","001200055937","AD9","P2032","","H","60.33","12.67","0.00","1","0.00","0.00","0.00","0.00","73"
"070315","FAP","002900004699","AD9","P2119","","H","60.33","12.67","0.00","1","0.00","0.00","0.00","0.00","73"
"300115","FAP","000200276025","AD9","","","D","60.00","12.60","0.00","1","0.00","0.00","0.00","0.00","72.6"
"130315","FAP","000100046832","MAT","P2134","","H","60.00","12.60","0.00","1","0.00","0.00","0.00","0.00","72.6"
"090115","FAP","001200054290","PRP","P2032","","H","59.93","12.59","0.00","1","0.00","0.00","0.00","0.00","72.52"
"100415","FAP","001200055565","AD9","P2032","","H","59.80","12.56","0.00","1","0.00","0.00","0.00","0.00","72.36"
"040215","FAP","002700040793","MAT","P2119","","H","59.80","12.56","0.00","1","0.00","0.00","0.00","0.00","72.36"
"160115","FAP","001200054592","PRP","P2032","","H","59.80","12.56","0.00","1","0.00","0.00","0.00","0.00","72.36"
"280115","FAP","001200055013","PRP","P2032",".","H","59.79","12.56","0.00","1","0.00","0.00","0.00","0.00","72.35"
"290115","FAP","000100044569","PRP","P2392","","H","59.79","12.56","0.00","1","0.00","0.00","0.00","0.00","72.35"
"100215","FAP","001200055565","AD9","P2032","","H","59.79","12.56","0.00","1","0.00","0.00","0.00","0.00","72.35"
"060515","FAP","000200086963","AD9","P0571","","H","58.00","12.18","0.00","1","0.00","0.00","0.00","0.00","70.18"
"010315","FAP","120012015010","CO4","P0033","","H","575.39","155.36","0.00","1","0.00","0.00","0.00","0.00","730.75"
"080115","FAP","000100072737","PRP","P2470","","H","5745.39","1206.53","0.00","1","0.00","0.00","0.00","0.00","6951.92"
"040515","FAP","000100074228","MAT","P2470","","H","5745.39","1206.53","0.00","1","0.00","0.00","0.00","0.00","6951.92"
"030215","FAP","000100050220","VAR","P0033","","H","572.01","154.44","0.00","1","0.00","0.00","0.00","0.00","726.45"
"050315","FAP","000100073407","MAT","P2470","","H","5699.61","1196.92","0.00","1","0.00","0.00","0.00","0.00","6896.53"
"210415","FAP","000300065186","MAT","P0570","","H","531.98","111.72","0.00","1","0.00","0.00","0.00","0.00","643.7"
"230115","FAP","000400008700","PRP","P1104","","H","53.52","11.24","0.00","1","0.00","0.00","0.00","0.00","64.76"
"220115","FAP","000300031883","PRP","P2000","","H","528.60","111.01","0.00","1","0.00","0.00","0.00","0.00","639.61"
"210515","FAP","000100001548","MAT","P1198","","H","5272.50","1107.23","0.00","1","0.00","0.00","0.00","0.00","6379.73"
"080115","FAP","000400082264","PRP","P0917","","H","526.86","110.64","0.00","1","0.00","0.00","0.00","0.00","637.5"
"170415","FAP","000200086690","AD9","P0571","","H","525.09","110.27","0.00","1","0.00","0.00","0.00","0.00","635.36"
"050615","FAP","000100024352","MAT","P2145","","H","521.00","109.41","0.00","1","0.00","0.00","0.00","0.00","630.41"
"160315","FAP","000400000375","AD9","P2531","","H","512.00","107.52","0.00","1","0.00","0.00","0.00","0.00","619.52"
"080615","FAP","000100000032","AD9","P2536","","H","510.00","107.10","0.00","1","0.00","0.00","0.00","0.00","617.1"
"040315","FAP","000200000177","AD9","P2529","","H","5000.00","1050.00","0.00","1","0.00","0.00","0.00","0.00","6050"
"060415","FAP","000200000202","AD9","P2529","","H","5000.00","1050.00","0.00","1","0.00","0.00","0.00","0.00","6050"
"210115","FAP","000200085669","PRP","P0571","","H","50.48","10.60","0.00","1","0.00","0.00","0.00","0.00","61.08"
"130415","FAP","000700074270","AD9","P0902","","H","496.25","104.21","0.00","1","0.00","0.00","0.00","0.00","600.46"
"240215","FAP","001400020333","AD9","P2188","","H","49.59","10.41","0.00","1","0.00","0.00","0.00","0.00","60"
"030215","FAP","000400008828","MAT","P1104","","H","49.59","10.41","0.00","1","0.00","0.00","0.00","0.00","60"
"050515","FAP","001602531465","CO4","P2212","","H","49.12","13.26","0.00","1","0.00","0.00","0.00","0.00","62.379999999999995"
"020215","FAP","000100061500","AD3","P0528","","H","49.09","13.25","0.00","1","0.00","0.00","0.00","0.00","62.34"
"010515","FAP","000100172170","AD9","P0526","","H","482.64","101.35","0.00","1","0.00","0.00","0.00","0.00","583.99"
"300115","FAP","000200093694","AD9","","","D","48.00","0.00","0.00","1","0.00","0.00","0.00","0.00","48"
"020315","FAP","000100022357","MAT","P2421","","H","4715.10","990.17","0.00","1","0.00","0.00","0.00","0.00","5705.27"
"220115","FAP","000100108463","PRP","P0729","","H","470.12","98.73","0.00","1","0.00","0.00","0.00","0.00","568.85"
"130115","FAP","000100003877","PRP","P2519","","H","4665.00","979.65","0.00","1","0.00","0.00","0.00","0.00","5644.65"
"150515","FAP","000100004111","MAT","P2519","","H","4500.00","945.00","0.00","1","0.00","0.00","0.00","0.00","5445"
"230215","FAP","000100006839","MAT","P2344","","H","4487.22","942.32","0.00","1","0.00","0.00","0.00","0.00","5429.54"
"230415","FAP","000400008275","AD9","P0842","","H","443.08","93.05","0.00","1","0.00","0.00","0.00","0.00","536.13"
"190515","FAP","000200087133","MAT","P0571","","H","43.00","9.03","0.00","1","0.00","0.00","0.00","0.00","52.03"
"120515","FAP","001000014340","GV1","P1169","","H","424.88","44.61","0.00","1","0.00","0.00","0.00","0.00","469.49"
"010515","FAP","000100171669","AD9","P0526","","H","411.15","86.34","0.00","1","0.00","0.00","0.00","0.00","497.49"
"010415","FAP","000100171669","AD9","P0526","","H","411.15","86.34","0.00","1","0.00","0.00","0.00","0.00","497.49"
"160115","FAP","000200085613","PRP","P0571","","H","41.79","8.78","0.00","1","0.00","0.00","0.00","0.00","50.57"
"010415","FAP","000500010648","COM","P2530","","H","409.09","85.91","0.00","1","0.00","0.00","0.00","0.00","495"
"010315","FAP","000100008475","AD9","P2528","","H","407.93","85.67","0.00","1","0.00","0.00","0.00","0.00","493.6"
"120315","FAP","000100006444","AD9","P1117","","H","400.00","84.00","0.00","1","0.00","0.00","0.00","0.00","484"
"110415","FAP","001400020272","AD9","P2188","","H","40.27","8.46","0.00","1","0.00","0.00","0.00","0.00","48.730000000000004"
"110215","FAP","001400020272","AD9","P2188","","H","40.27","8.46","0.00","1","0.00","0.00","0.00","0.00","48.730000000000004"
"170315","FAP","001400020500","AD9","P2188","","H","40.27","8.46","0.00","1","0.00","0.00","0.00","0.00","48.730000000000004"
"040215","FAP","001400020229","MAT","P2188","","H","40.27","8.46","0.00","1","0.00","0.00","0.00","0.00","48.730000000000004"
"180315","FAP","000100002148","MAT","P0053","","H","3960.00","831.60","0.00","1","0.00","0.00","0.00","0.00","4791.6"
"010315","FAP","000104324517","CO3","P0512","","H","391.40","105.68","0.00","1","0.00","0.00","0.00","0.00","497.08"
"180215","FAP","000100043245","VAR","P0512","","H","391.40","105.68","0.00","1","0.00","0.00","0.00","0.00","497.08"
"010115","FAP","000100000966","PRP","P2355","","H","3900.00","819.00","0.00","1","0.00","0.00","0.00","0.00","4719"
"280215","FAP","000100171158","AD9","P0526","","H","386.77","81.22","0.00","1","0.00","0.00","0.00","0.00","467.99"
"010415","FAP","000100171158","AD9","P0526","","H","386.77","81.22","0.00","1","0.00","0.00","0.00","0.00","467.99"
"140415","FAP","000100017021","MAT","P0018","","H","3854.13","809.37","0.00","1","0.00","0.00","0.00","0.00","4663.5"
"050315","FAP","000100001004","MAT","P2355","","H","3750.00","787.50","0.00","1","0.00","0.00","0.00","0.00","4537.5"
"130215","FAP","000700072017","MAT","P0902","","H","374.06","78.55","0.00","1","0.00","0.00","0.00","0.00","452.61"
"140515","FAP","000400046241","AD9","P0921","","H","373.00","78.33","0.00","1","0.00","0.00","0.00","0.00","451.33"
"130515","FAP","000500011453","AD9","P2530","","H","371.90","78.10","0.00","1","0.00","0.00","0.00","0.00","450"
"190215","FAP","001400020297","MAT","P2188","","H","37.73","7.92","0.00","1","0.00","0.00","0.00","0.00","45.65"
"040315","FAP","001400020396","AD9","P2188","","H","37.73","7.92","0.00","1","0.00","0.00","0.00","0.00","45.65"
"230415","FAP","000100001017","MAT","P2355","","H","36140.00","7589.40","0.00","1","0.00","0.00","0.00","0.00","43729.4"
"050515","FAP","000100041160","MAT","P1030","","H","36.12","7.59","0.00","1","0.00","0.00","0.00","0.00","43.709999999999994"
"010515","FAP","010600635664","FA3","P2455",".","H","345.94","93.40","0.00","1","0.00","0.00","0.00","0.00","439.34000000000003"
"030615","FAP","000100000024","AD9","P2536","","H","340.00","71.40","0.00","1","0.00","0.00","0.00","0.00","411.4"
"010615","FAP","000100009243","MAT","P0880","","H","340.00","71.40","0.00","1","0.00","0.00","0.00","0.00","411.4"
"040515","FAP","000200086920","AD9","P0571","","H","339.82","71.36","0.00","1","0.00","0.00","0.00","0.00","411.18"
"050215","FAP","329100019163","AD9","P0751","","H","338.66","71.12","0.00","1","0.00","0.00","0.00","0.00","409.78000000000003"
"050115","FAP","000100000242","AD9","P2523","","D","335.00","70.35","0.00","1","0.00","0.00","0.00","0.00","405.35"
"010215","FAP","001000000758","MAT","P2032","","H","328.88","69.06","0.00","1","0.00","0.00","0.00","0.00","397.94"
"010515","FAP","000100002426","AD9","P2244","","H","3200.00","672.00","0.00","1","0.00","0.00","0.00","0.00","3872"
"190315","FAP","000100009175","MAT","P0880","","H","320.00","67.20","0.00","1","0.00","0.00","0.00","0.00","387.2"
"130115","FAP","000100000978","MAT","P2355","","D","3150.00","661.50","0.00","1","0.00","0.00","0.00","0.00","3811.5"
"010415","FAP","062700066657","AD9","P2441","","H","313.48","65.83","0.00","1","0.00","0.00","0.00","0.00","379.31"
"140315","FAP","000500010390","AD9","P2530","","H","3107.44","652.56","0.00","1","0.00","0.00","0.00","0.00","3760"
"290515","FAP","000300432874","AD9","P2369","","H","31.18","6.55","0.00","1","0.00","0.00","0.00","0.00","37.73"
"240215","NCP","000100000998","MAT","P2355","","D","3099.00","650.79","0.00","1","0.00","0.00","0.00","0.00","3749.79"
